customer,project,total_hours,discount%,weekday,hour,num_projects,Frontend%,Backend%,UI/UX%,DevOps%,Maintenance%,Testing%,Consulting%,Security%,class,labels,num_orders,total_items
0,0,52.0,29.12,4,14,5,35.8,5.7,25.9,7.2,0.0,9.5,8.2,7.6,web_dev,0,1.0,52.0
1,1,43.0,20.44,4,18,1,24.4,6.7,5.7,13.6,27.6,13.4,8.7,0.0,optimization,9,1.0,43.0
2,2,55.0,20.39,5,9,5,14.8,28.3,9.7,0.0,9.0,9.1,9.9,19.1,frontend_focused,1,1.0,55.0
3,3,68.0,7.82,2,10,4,24.2,21.3,15.3,9.6,11.2,6.8,0.0,11.6,consulting,8,1.0,68.0
4,4,41.0,29.15,7,18,2,18.9,21.9,10.9,9.1,16.0,4.3,11.2,7.6,specialized,6,1.0,41.0
5,5,41.0,26.01,7,19,5,14.2,29.3,7.6,7.6,6.8,17.1,8.4,8.9,specialized,6,1.0,41.0
6,6,69.0,8.25,1,19,5,18.9,31.6,14.1,12.2,0.3,16.7,0.0,6.3,startups,7,1.0,69.0
7,7,57.0,11.2,1,11,1,19.8,15.4,5.8,15.2,8.6,14.0,11.4,9.9,consulting,8,1.0,57.0
8,8,38.0,25.04,4,10,5,23.6,19.6,0.0,11.2,7.2,14.2,8.7,15.5,frontend_focused,1,1.0,38.0
9,9,53.0,29.37,6,16,3,30.1,25.4,16.0,17.1,0.0,5.9,0.0,5.5,startups,7,1.0,53.0
10,10,38.0,4.88,1,20,6,19.4,20.3,7.7,13.7,14.6,4.6,14.4,5.3,optimization,9,1.0,38.0
11,11,38.0,6.97,1,11,7,24.2,30.0,5.9,1.8,0.3,16.5,8.8,12.6,backend_focused,2,1.0,38.0
12,12,49.0,13.85,6,21,2,18.1,13.9,8.3,14.6,5.9,7.3,16.1,15.7,frontend_focused,1,1.0,49.0
14,14,19.0,15.15,4,8,5,24.7,26.7,5.3,9.5,0.0,8.5,11.1,14.2,small_projects,3,1.0,19.0
15,15,37.0,24.49,7,19,1,27.3,17.4,0.0,7.7,2.5,11.6,20.4,13.0,maintenance,5,1.0,37.0
16,16,30.0,3.49,3,21,4,22.4,27.1,8.7,16.2,1.2,0.3,16.7,7.3,small_projects,3,1.0,30.0
17,17,50.0,16.02,4,19,3,11.2,23.2,5.5,16.0,16.9,8.0,0.0,19.2,specialized,6,1.0,50.0
18,18,31.0,10.35,4,21,3,18.8,23.2,4.5,0.6,15.1,17.8,16.0,3.9,backend_focused,2,1.0,31.0
19,19,24.0,28.12,6,15,1,20.1,8.0,16.5,5.5,15.5,14.0,0.0,20.4,small_projects,3,1.0,24.0
20,20,67.0,10.44,2,11,4,24.8,35.8,0.0,4.5,7.9,18.4,8.6,0.0,startups,7,1.0,67.0
21,21,42.0,27.15,2,20,5,23.9,18.8,9.7,3.5,9.1,12.7,10.2,12.1,backend_focused,2,1.0,42.0
22,22,46.0,10.22,4,16,3,17.7,9.1,10.6,5.1,17.6,12.5,15.7,11.6,optimization,9,1.0,46.0
23,23,24.0,21.17,5,19,2,21.6,24.4,11.9,11.3,6.7,2.8,14.4,7.0,small_projects,3,1.0,24.0
24,24,37.0,17.02,5,16,3,20.8,12.2,22.4,14.9,15.5,6.9,3.6,3.7,web_dev,0,1.0,37.0
25,25,47.0,13.89,7,16,3,13.7,17.6,0.0,19.3,7.7,17.5,15.2,9.0,enterprise,4,1.0,47.0
26,26,28.0,8.68,2,18,3,14.5,23.6,13.2,12.6,18.2,4.1,3.3,10.6,small_projects,3,1.0,28.0
27,27,51.0,17.58,6,16,3,29.7,11.9,9.9,7.9,17.1,5.7,12.2,5.4,optimization,9,1.0,51.0
28,28,36.0,11.48,2,20,7,16.0,21.7,13.0,9.7,15.3,4.1,20.2,0.0,maintenance,5,1.0,36.0
29,29,41.0,9.48,3,20,4,26.2,17.9,5.5,10.6,15.8,8.4,7.1,8.6,optimization,9,1.0,41.0
30,30,36.0,26.78,2,20,1,20.7,14.7,12.8,10.8,13.5,2.1,17.0,8.4,specialized,6,1.0,36.0
31,31,73.0,19.38,7,20,3,10.3,20.7,7.8,13.6,11.7,18.8,7.0,9.9,consulting,8,1.0,73.0
32,32,45.0,20.15,6,14,5,13.5,10.5,12.4,15.5,1.6,24.6,10.4,11.5,backend_focused,2,1.0,45.0
33,33,29.0,11.87,7,19,1,20.3,20.8,18.0,10.0,4.8,18.0,1.6,6.6,small_projects,3,1.0,29.0
34,34,57.0,13.51,7,16,3,17.0,32.5,5.9,2.7,5.7,7.4,16.5,12.2,startups,7,1.0,57.0
35,35,27.0,13.01,1,14,3,23.9,24.1,14.1,8.3,8.5,7.7,1.8,11.6,small_projects,3,1.0,27.0
36,36,48.0,17.7,4,18,7,20.5,21.3,8.1,9.2,4.3,9.9,5.9,20.7,frontend_focused,1,1.0,48.0
38,38,25.0,14.76,4,15,2,30.4,15.1,11.5,0.0,0.0,23.5,19.5,0.0,backend_focused,2,1.0,25.0
39,39,48.0,8.66,6,9,4,24.4,23.3,10.4,3.7,4.8,10.6,12.0,11.0,startups,7,1.0,48.0
40,40,56.0,21.08,4,19,1,26.0,18.4,14.5,8.1,0.7,8.9,8.6,14.7,frontend_focused,1,1.0,56.0
41,41,48.0,15.27,6,11,3,37.5,21.9,0.0,4.4,0.3,17.7,4.4,13.9,backend_focused,2,1.0,48.0
42,42,43.0,3.47,3,11,1,17.5,26.0,18.7,3.5,9.4,1.6,11.4,11.9,web_dev,0,1.0,43.0
43,43,40.0,0.0,3,11,7,31.7,4.3,17.4,0.0,4.7,36.2,0.0,5.7,backend_focused,2,1.0,40.0
44,44,23.0,17.38,1,10,7,15.0,26.5,14.0,6.3,8.6,10.8,6.7,12.3,small_projects,3,1.0,23.0
45,45,34.0,8.36,7,20,4,20.0,21.3,13.4,9.1,14.1,5.5,11.2,5.5,small_projects,3,1.0,34.0
46,46,38.0,18.45,4,8,7,24.5,23.1,9.2,9.4,7.7,13.5,11.5,1.1,backend_focused,2,1.0,38.0
47,47,61.0,8.8,1,13,1,31.3,11.7,5.5,10.4,16.9,14.3,0.0,9.8,optimization,9,1.0,61.0
48,48,50.0,16.07,2,12,2,23.3,21.9,14.1,0.0,16.1,22.5,2.1,0.1,backend_focused,2,1.0,50.0
49,49,19.0,11.97,4,18,1,22.0,5.3,24.7,15.0,12.6,0.0,11.7,8.6,small_projects,3,1.0,19.0
50,50,50.0,29.02,1,10,1,24.1,15.5,0.0,13.3,22.5,9.8,6.9,7.8,optimization,9,1.0,50.0
51,51,39.0,22.6,3,19,2,27.8,16.4,16.2,8.4,5.0,10.8,6.4,9.1,web_dev,0,1.0,39.0
52,52,35.0,25.78,6,14,4,18.8,27.9,8.3,7.1,3.3,23.0,8.7,2.9,backend_focused,2,1.0,35.0
53,53,54.0,15.19,3,13,7,28.0,21.0,0.0,6.3,26.7,16.0,0.0,2.0,optimization,9,1.0,54.0
54,54,60.0,21.58,3,11,5,22.9,25.6,0.0,3.9,9.9,0.4,19.2,18.1,startups,7,1.0,60.0
55,55,59.0,15.73,6,16,4,25.6,18.7,3.1,7.0,7.8,16.1,3.4,18.3,frontend_focused,1,1.0,59.0
56,56,32.0,26.76,1,11,3,27.5,17.9,3.0,0.0,14.1,19.9,14.3,3.3,backend_focused,2,1.0,32.0
57,57,40.0,14.42,1,16,3,18.8,15.1,7.6,18.0,18.2,14.0,0.0,8.4,optimization,9,1.0,40.0
58,58,50.0,3.82,1,10,2,18.2,17.7,14.0,14.2,11.1,0.0,13.9,10.9,web_dev,0,1.0,50.0
59,59,60.0,0.0,5,21,1,15.6,14.6,13.6,13.6,0.0,4.8,13.5,24.4,frontend_focused,1,1.0,60.0
60,60,38.0,28.35,4,21,2,26.9,14.4,13.0,8.1,6.8,14.2,2.8,13.8,backend_focused,2,1.0,38.0
61,61,42.0,18.83,5,14,1,20.3,18.4,5.3,7.3,16.0,10.5,20.0,2.2,optimization,9,1.0,42.0
62,62,28.0,19.35,5,14,6,19.0,16.4,18.3,10.1,7.1,10.1,15.6,3.5,small_projects,3,1.0,28.0
63,63,27.0,26.92,6,8,3,20.0,11.9,10.4,15.9,10.9,8.2,12.4,10.3,small_projects,3,1.0,27.0
64,64,57.0,1.79,7,8,6,26.6,10.6,19.3,7.6,16.9,7.5,9.9,1.6,web_dev,0,1.0,57.0
65,65,65.0,12.13,2,9,3,22.0,11.7,15.8,0.0,2.4,19.2,8.2,20.7,consulting,8,1.0,65.0
66,66,44.0,13.11,7,11,1,15.8,20.7,5.9,16.9,6.1,1.2,10.8,22.6,frontend_focused,1,1.0,44.0
67,67,60.0,20.94,2,20,5,23.7,21.9,6.7,2.5,10.6,10.3,24.3,0.0,maintenance,5,1.0,60.0
68,68,50.0,9.46,7,9,6,21.7,27.9,1.7,17.8,10.2,8.5,6.9,5.3,enterprise,4,1.0,50.0
69,69,35.0,5.39,3,17,6,32.1,13.9,6.6,0.0,22.4,0.0,10.8,14.2,optimization,9,1.0,35.0
70,70,50.0,5.32,6,17,7,23.2,26.1,10.3,0.0,7.6,16.7,14.3,1.7,backend_focused,2,1.0,50.0
71,71,68.0,24.2,5,20,5,32.3,14.5,5.2,13.3,4.9,8.0,16.4,5.5,consulting,8,1.0,68.0
72,72,44.0,9.06,7,12,3,19.0,25.0,11.7,16.9,11.8,0.0,14.3,1.3,enterprise,4,1.0,44.0
73,73,68.0,10.58,2,9,4,14.0,26.6,16.7,9.4,1.4,20.0,12.0,0.0,consulting,8,1.0,68.0
75,75,57.0,9.41,5,13,2,0.0,10.0,31.1,3.3,15.5,22.9,13.6,3.6,web_dev,0,1.0,57.0
76,76,46.0,1.36,7,10,4,7.2,17.4,7.6,6.5,7.7,15.1,25.8,12.8,maintenance,5,1.0,46.0
77,77,41.0,2.35,4,9,2,10.6,10.7,24.6,11.3,15.1,16.1,3.7,7.8,web_dev,0,1.0,41.0
78,78,46.0,14.55,5,21,6,33.1,11.8,6.1,0.7,9.1,12.8,11.7,14.6,frontend_focused,1,1.0,46.0
